Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
5136,UEI-IMD-FL-2019-0157,27-09-2019 00:00,27-09-2019 00:00,1.0,Heavy rains & flash flood,,Dehradun,Uttarakhand,,,,,,,,,,Damage to about 15 houses in Clement town reported.,IMD,,49,5
5294,UEI-IMD-FL-2020-0138,15-07-2020 00:00,15-07-2020 00:00,1.0,Heavy Rains,,Dehradun,Uttarakhand,,,,,4.0,2.0,,,"4 members of a family, including a pregnant woman & 8-year girl died,2 others injured in sleep due to wall collapsed in Chukkhuwala area.",Complete damage to a house reported,IMD,,49,5
5295,UEI-IMD-FL-2020-0139,18-07-2020 00:00,19-07-2020 00:00,2.0,Heavy Rains & Cloud Burst,,Pithoragarh,Uttarakhand,,,,,3.0,,8,,3 persons died in Madkot & 8 others missing from a neighbouring village.,"i) Damage to a bridge on Gori river in the hill town of Munsiyari reported. ii) 4 houses completely damaged. iii) Damage to main roads connecting district headquarters to Bangapani, Munsiyari,Dharchula areas reported. iv) Damage to water pipelines reported.",IMD,,53,5
5296,UEI-IMD-FL-2020-0140,25-08-2020 00:00,25-08-2020 00:00,1.0,Heavy Rains & Cloud Burst,,Chamoli,Uttarakhand,,,,,1.0,3.0,,,One junior Engineer died & other 3 severely injured in Pokhari area of Thali Ansari village due to wall collapsed.,i) Extensive damage to Panchayat Ghar reported. ii) The Rishikesh-Gangotri National Highway in Uttarakhand is blocked near Narendra Nagar,IMD,,47,5
5615,UEI-IMD-FL-2021-0306,07-02-2021 00:00,07-02-2021 00:00,1.0,Nandadevi Glacier breaks off at Joshimath,,Chamoli,Uttarakhand,,,,,70.0,,205,,,,IMD,,47,5
5616,UEI-IMD-FL-2021-0307,29-05-2021 00:00,29-05-2021 00:00,1.0,Landslide,,Uttar Kashi Kashi ,Uttarakhand,,,,,,,,,,,IMD,,,5
5617,UEI-IMD-FL-2021-0308,11-07-2021 00:00,11-07-2021 00:00,1.0,Landslide,,Bageshwar,Uttarakhand,,,,,3.0,,,,,,IMD,,46,5
5618,UEI-IMD-FL-2021-0309,11-07-2021 00:00,11-07-2021 00:00,1.0,Landslide,,Chamoli ,Uttarakhand,,,,,3.0,,,,,,IMD,,47,5
5619,UEI-IMD-FL-2021-0310,19-07-2021 00:00,19-07-2021 00:00,1.0,Heavy Rains,,Uttar Kashi Kashi,Uttarakhand,,,,,3.0,,,,,,IMD,,,5
5620,UEI-IMD-FL-2021-0311,29-08-2021 00:00,29-08-2021 00:00,1.0, Heavy Rains,,Pithoragarh,Uttarakhand,,,,,7.0,2.0,,,,,IMD,,53,5
5621,UEI-IMD-FL-2021-0312,16-10-2021 00:00,19-10-2021 00:00,4.0,"Heavy Rain, Landslides & Floods",,"Almora, Bageshwar, Chamoli, Champawat, Nainital, Garhwal, Pithoragarh, Udam Singh Nagar",Uttarakhand,,,,,52.0,17.0,5,,,,IMD,,"45, 46, 47, 48, 51, 52, 53, 56",5
6744,UEI-IMD-FL-2022-1098,19-07-2022 00:00,19-07-2022 00:00,1.0,Heavy rains,,Rudra Prayag,Uttarakhand,,,,,2.0,6.0,,,,,IMD,,54,5
